action,id,name,field,old,new,reason
update,232,MOONG CHILKA,size,8LBS,8 LB,1 size spelling
update,233,ROASTED SALTED CASHEWS,size,1LB,1 LB,1 size spelling
update,235,FENNEL CANDY,size,0.5 lb,0.5 LB,1 size spelling
update,238,GREEN PISTA,size,1 lb,1 LB,1 size spelling
update,240,BASMATI RICE(PARBOILED),size,2 LBS,2 LB,1 size spelling
update,243,MAKHANI SAUCE,date_mode,Packed,Best By,5 cooked item with ingredients set to Best By
update,249,ROASTED PEANUT,size,14OZ,14 OZ,1 size spelling
update,250,KAJU KATLI,ingredients,"Cashew, Sugar, Milk, Cardamom& butter","Cashew, Sugar, Milk, Cardamom & butter",2 ingredient spacing/punctuation
update,251,PISTACHIO,size,4LBS,4 LB,1 size spelling
update,258,WASABI FRIED GREEN PEAS,notes,,"CHECK (data cleanup 2026-09-17): ingredients and subtitle still need to be typed in — no source document (WASABI _FRIED _GREENPEAS.docx only says ""29Month"").",5 flagged: needs ingredients
update,263,CUMIN SEEDS,size,200 gms,200 GM,1 size spelling
update,272,SABUDANA KHICHDI,notes,,CHECK (data cleanup 2026-09-17): ingredients and subtitle still need to be typed in — no source document (SABUDANA KHICHDI.docx is empty).,5 flagged: needs ingredients
update,273,SHAKKAR PARA,size,14 OZ.,14 OZ,1 size spelling
update,277,STAR ANIES,size,200 gm,200 GM,1 size spelling
update,298,KAJU  PISTA BURFI,name,KAJU  PISTA BURFI,KAJU PISTA BURFI,2 stray spaces
update,303,FRYUMS,size,14OZ,14 OZ,1 size spelling
update,304,STAR ANISE,size,400gm,400 GM,1 size spelling
update,306,FALOODA SEV,size,50 G,50 GM,1 size spelling
update,308,GAZAB AAM PAPAD BURFI,size,150 G,150 GM,1 size spelling
update,313,SONA MASORI RICE,size,5 LBS,5 LB,1 size spelling
update,314,CROWN CORIANDER SEEDS,size,200 gms,200 GM,1 size spelling
update,316,CROWN GREEN CARDAMOM,size,200 G,200 GM,1 size spelling
update,321,CROWN TURMERIC POWDER,size,200 G,200 GM,1 size spelling
update,322,VOHRA FOODS GALAWAT,size,340 G,340 GM,1 size spelling
update,323,RAW PEANUTS,size,3 lb,3 LB,1 size spelling
update,324,POPPY SEEDS,size,7 OZ(200 GM),7 OZ (200 GM),1 size spelling
update,326,CROWN MOONG WHOLE,size,4 LBS,4 LB,1 size spelling
update,327,CUMIN SEEDS,size,3LBS,3 LB,1 size spelling
update,336,TAMRIND  PASTE,size,7OZ,7 OZ,1 size spelling
update,336,TAMRIND  PASTE,name,TAMRIND  PASTE,TAMRIND PASTE,2 stray spaces
update,339,BLACK PEPPER PWDR,size,14 0Z,14 OZ,1 size spelling
update,346,GUR REWARI,size,14 .1OZ,14.1 OZ,1 size spelling
update,352,CINAMON STICK,size,3.5 oz,3.5 OZ,1 size spelling
update,353,GREEN CARDAMOM,size,14  OZ(400 GM),14 OZ (400 GM),1 size spelling
update,354,ROASTED CHANA,size,14  OZ,14 OZ,1 size spelling
update,355,ROASTED CHANA,size,28  OZ,28 OZ,1 size spelling
update,363,KESAR PISTA  BURFI,size,8OZ,8 OZ,1 size spelling
update,363,KESAR PISTA  BURFI,name,KESAR PISTA  BURFI,KESAR PISTA BURFI,2 stray spaces
